study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test_routine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
mouse,,,,0,0,0,8,,,,,0.0594753,,0.0114793,0.0594753,0.0594753,1.9965098,3.733333333,1.960248,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
cushion,,,,0,1,1,1,,,,,2.02206,,1.9969927,2.02206,2.02206,2.3633765,3.737037037,0.3437545,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
police,,,,0,2,2,12,,,,,2.3887304,,2.3636163,2.3887304,2.3887304,3.1291447,2.577777778,0.7449816,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
camera,,,,0,3,3,18,,,,,3.1446493,,3.1293422,3.1446493,3.1446493,3.6956837,1.862962963,0.5447045,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
pastry,,,,0,4,4,9,,,,,3.7097803,,3.6958599,3.7097803,3.7097803,4.2494505,2.625925926,0.5327068,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
Tshirt,,,,0,5,5,7,,,,,4.2643356,,4.249753,4.2643356,4.2643356,4.7461865,3.218518519,0.4736566,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
pencil,,,,0,6,6,15,,,,,4.7597361,,4.7464253,4.7597361,4.7597361,5.3127251,3.540740741,0.5468362,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
bottle,,,,0,7,7,17,,,,,5.3260987,,5.3129746,5.3260987,5.3260987,6.2291033,3.144444444,0.8963857,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
poster,,,,0,8,8,14,,,,,6.2427542,,6.2292964,6.2427542,6.2427542,7.2630677,2.32962963,1.013669,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
book,,,,0,9,9,0,,,,,7.2760661,,7.2632505,7.2760661,7.2760661,8.0290511,3.57037037,0.7462415,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
