study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test_routine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
pastry,,,,0,0,0,9,,,,,0.0293155,,0.0070049,0.0293155,0.0293155,2.6190334,3.340740741,2.5896824,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
cruise,,,,0,1,1,11,,,,,2.6341022,,2.6193149,2.6341022,2.6341022,3.0198614,3.340740741,0.3810561,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
police,,,,0,2,2,12,,,,,3.0337073,,3.0201353,3.0337073,3.0337073,3.6858231,2.937037037,0.6459972,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
keys,,,,0,3,3,13,,,,,3.7002089,,3.6860103,3.7002089,3.7002089,4.3202795,2.47037037,0.6150126,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
case,,,,0,4,4,10,,,,,4.3336263,,4.3205415,4.3336263,4.3336263,4.9366244,2.077777778,0.5988422,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
mouse,,,,0,5,5,8,,,,,4.949768,,4.936849,4.949768,4.949768,5.5527675,1.696296296,0.5974956,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
vase,,,,0,6,6,16,,,,,5.5666526,,5.5530329,5.5666526,5.5666526,6.3528587,1.466666667,0.7800855,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
bottle,,,,0,7,7,17,,,,,6.3667521,,6.3531148,6.3667521,6.3667521,7.0193606,2.288888889,0.6461521,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
camera,,,,0,8,8,18,,,,,7.0329413,,7.0195831,7.0329413,7.0329413,7.8702845,3.181481481,0.8309297,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
pencil,,,,0,9,9,15,,,,,7.8831994,,7.8704966,7.8831994,7.8831994,8.4192919,3.181481481,0.5276068,,,,,,,,,,,,,,,750977,1,2024-11-07_23h38.16.397,word priming experiment,2024.1.5,None,2024-11-07 23h38.25.555153 +0530
