study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test_routine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
vase,,,,0,0,0,16,,,,,0.0323455,,0.0076875,0.0323455,0.0323455,2.0246581,4.288888889,1.9937466,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
phone,,,,0,1,1,2,,,,,2.0488081,,2.0250925,2.0488081,2.0488081,2.4245354,4.288888889,0.3749525,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
marble,,,,0,2,2,3,,,,,2.4406371,,2.4247324,2.4406371,2.4406371,3.274484,3.777777778,0.8303471,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
poster,,,,0,3,3,14,,,,,3.2930442,,3.2748113,3.2930442,3.2930442,3.8246956,3.02962963,0.5284152,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
table,,,,0,4,4,19,,,,,3.8381766,,3.8249549,3.8381766,3.8381766,4.441409,2.203703704,0.5969582,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
case,,,,0,5,5,10,,,,,4.4546494,,4.4416815,4.4546494,4.4546494,4.8747743,2.196296296,0.4143508,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
book,,,,0,6,6,0,,,,,4.8898461,,4.8750268,4.8898461,4.8898461,5.739693,2.414814815,0.843784,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
bottle,,,,0,7,7,17,,,,,5.754405,,5.7398732,5.754405,5.754405,6.3905798,2.862962963,0.6316848,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
police,,,,0,8,8,12,,,,,6.404263,,6.3908464,6.404263,6.404263,6.9731066,2.144444444,0.5633305,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
Tshirt,,,,0,9,9,7,,,,,6.9872204,,6.9732835,6.9872204,6.9872204,7.5904251,1.144444444,0.5957311,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
keys,,,,0,10,10,13,,,,,7.6048441,,7.5906951,7.6048441,7.6048441,8.2562712,2.174074074,0.645673,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
mouse,,,,0,11,11,8,,,,,8.2706042,,8.2566065,8.2706042,8.2706042,8.7080124,2.174074074,0.43075,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
cushion,,,,0,12,12,1,,,,,8.7216347,,8.7082936,8.7216347,8.7216347,9.5400445,3.17037037,0.811319,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
chart,,,,0,13,13,6,,,,,9.5539692,,9.5402768,9.5539692,9.5539692,10.156823,3.603703704,0.5987586,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
board,,,,0,14,14,4,,,,,10.1706953,,10.1570533,10.1706953,10.1706953,10.8562156,4.037037037,0.6775377,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
cruise,,,,0,15,15,11,,,,,10.8704991,,10.8563914,10.8704991,10.8704991,11.5066267,3.477777778,0.6325877,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
pastry,,,,0,16,16,9,,,,,11.5202083,,11.5069629,11.5202083,11.5202083,12.0233388,3.47037037,0.4986391,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
camera,,,,0,17,17,18,,,,,12.0385825,,12.0243142,12.0385825,12.0385825,12.7232755,2.940740741,0.6792025,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
